,stop_id,stop_name,stop_lat,stop_lon,GEOID,NAMELSAD,geometry,index_right,PUMA,Shape_Leng,Shape_Area
0,400001,4 AV/E 10 ST,40.731342,-73.99029200000001,36061,New York County,POINT (-73.99029200000001 40.73134199999998),18.0,3809,36351.6176183,48695493.6207
1,400002,4 AV/E 12 ST,40.732608,-73.989958,36061,New York County,POINT (-73.989958 40.732608),18.0,3809,36351.6176183,48695493.6207
2,400003,4 AV/E 13 ST,40.733936,-73.98971999999999,36061,New York County,POINT (-73.98971999999999 40.73393599999999),18.0,3809,36351.6176183,48695493.6207
3,400007,PARK AV S/E 21 ST,40.738976,-73.987053,36061,New York County,POINT (-73.987053 40.73897599999998),17.0,3808,43083.5505189,44952037.8009
4,400026,MADISON AV/E 63 ST,40.766273999999996,-73.969329,36061,New York County,POINT (-73.969329 40.766274),14.0,3805,54449.5033787,55222267.9563
5,400027,MADISON AV/E 65 ST,40.76758,-73.968375,36061,New York County,POINT (-73.96837499999999 40.76757999999997),14.0,3805,54449.5033787,55222267.9563
6,400028,MADISON AV/E 67 ST,40.768812,-73.967483,36061,New York County,POINT (-73.967483 40.76881199999999),14.0,3805,54449.5033787,55222267.9563
7,400029,MADISON AV/E 69 ST,40.770075,-73.96655799999999,36061,New York County,POINT (-73.96655799999999 40.77007499999998),14.0,3805,54449.5033787,55222267.9563
8,400030,MADISON AV/E 72 ST,40.771802,-73.965308,36061,New York County,POINT (-73.96530799999999 40.771802),14.0,3805,54449.5033787,55222267.9563
9,400031,MADISON AV/E 74 ST,40.772774,-73.96461,36061,New York County,POINT (-73.96460999999999 40.77277399999996),14.0,3805,54449.5033787,55222267.9563
10,400032,MADISON AV/E 77 ST,40.775321999999996,-73.962739,36061,New York County,POINT (-73.962739 40.77532199999997),14.0,3805,54449.5033787,55222267.9563
11,400033,MADISON AV/E 81 ST,40.777452000000004,-73.961191,36061,New York County,POINT (-73.96119100000001 40.77745199999999),14.0,3805,54449.5033787,55222267.9563
12,400034,MADISON AV/E 83 ST,40.778793,-73.960206,36061,New York County,POINT (-73.960206 40.77879299999999),14.0,3805,54449.5033787,55222267.9563
13,400036,MADISON AV/E 86 ST,40.781155,-73.958483,36061,New York County,POINT (-73.958483 40.78115499999998),14.0,3805,54449.5033787,55222267.9563
14,400037,MADISON AV/E 89 ST,40.782676,-73.957373,36061,New York County,POINT (-73.957373 40.78267599999999),14.0,3805,54449.5033787,55222267.9563
15,400038,MADISON AV/E 91 ST,40.78436,-73.956137,36061,New York County,POINT (-73.956137 40.78436),14.0,3805,54449.5033787,55222267.9563
16,400039,MADISON AV/E 93 ST,40.785636,-73.955205,36061,New York County,POINT (-73.95520500000001 40.78563599999999),14.0,3805,54449.5033787,55222267.9563
17,400041,MADISON AV/E 98 ST,40.788413,-73.95318,36061,New York County,POINT (-73.95318 40.78841299999998),13.0,3804,62599.5024685,64612123.1374
18,400042,MADISON AV/E 101 ST,40.790304,-73.951799,36061,New York County,POINT (-73.95179899999999 40.790304),13.0,3804,62599.5024685,64612123.1374
19,400043,MADISON AV/E 102 ST,40.791371000000005,-73.951022,36061,New York County,POINT (-73.95102199999999 40.791371),13.0,3804,62599.5024685,64612123.1374
20,400044,MADISON AV/E 104 ST,40.792159000000005,-73.950447,36061,New York County,POINT (-73.950447 40.79215899999999),13.0,3804,62599.5024685,64612123.1374
21,400045,MADISON AV/E 106 ST,40.793434000000005,-73.949511,36061,New York County,POINT (-73.949511 40.79343399999998),13.0,3804,62599.5024685,64612123.1374
22,400046,MADISON AV/E 107 ST,40.794551,-73.94869399999999,36061,New York County,POINT (-73.94869399999999 40.79455099999998),13.0,3804,62599.5024685,64612123.1374
23,400047,MADISON AV/E 109 ST,40.795813,-73.947779,36061,New York County,POINT (-73.947779 40.795813),13.0,3804,62599.5024685,64612123.1374
24,400048,MADISON AV/E 112 ST,40.797494,-73.94655300000001,36061,New York County,POINT (-73.94655300000001 40.797494),13.0,3804,62599.5024685,64612123.1374
25,400050,MADISON AV/E 116 ST,40.800405,-73.94449499999999,36061,New York County,POINT (-73.94449499999999 40.800405),13.0,3804,62599.5024685,64612123.1374
26,400051,MADISON AV/E 118 ST,40.801507,-73.943618,36061,New York County,POINT (-73.943618 40.80150699999999),13.0,3804,62599.5024685,64612123.1374
27,400053,MADISON AV/E 123 ST,40.804777,-73.941328,36061,New York County,POINT (-73.941328 40.80477699999998),13.0,3804,62599.5024685,64612123.1374
28,400054,MADISON AV/E 125 ST,40.806015,-73.940348,36061,New York County,POINT (-73.940348 40.806015),13.0,3804,62599.5024685,64612123.1374
29,400055,MADISON AV/E 127 ST,40.807247,-73.939459,36061,New York County,POINT (-73.939459 40.80724699999998),12.0,3803,38111.6886704,39843953.7438
30,400056,MADISON AV/E 129 ST,40.808510999999996,-73.938536,36061,New York County,POINT (-73.938536 40.80851099999997),12.0,3803,38111.6886704,39843953.7438
31,400057,MADISON AV/E 132 ST,40.810426,-73.937108,36061,New York County,POINT (-73.93710799999999 40.81042599999996),13.0,3804,62599.5024685,64612123.1374
32,400059,5 AV/E 135 ST,40.813125,-73.937224,36061,New York County,POINT (-73.937224 40.81312499999999),13.0,3804,62599.5024685,64612123.1374
33,400060,5 AV/E 138 ST,40.814463,-73.936251,36061,New York County,POINT (-73.936251 40.81446299999999),13.0,3804,62599.5024685,64612123.1374
34,400061,W 139 ST/5 AV,40.815616,-73.93628299999999,36061,New York County,POINT (-73.93628299999999 40.81561599999998),12.0,3803,38111.6886704,39843953.7438
