,facname,zipcode,boro,cd,latitude,longitude,geometry,index_right,PUMA,Shape_Leng,Shape_Area
0,OXFORD NURSING HOME,11217,BROOKLYN,302,40.6849374291,-73.9734762999,POINT (-73.97347486286078 40.68492917712366),26,4004,73010.0956282,86682052.0213
1,ST MARYS CENTER INC,10027,MANHATTAN,109,40.8145270014,-73.9564114161,POINT (-73.95640997665177 40.81451872300817),11,3802,37927.824564,46903009.3879
2,P.S. 31,10314,STATEN ISLAND,502,40.586258,-74.148674,POINT (-74.14867251307692 40.58624977384987),21,3902,153372.622901,675481898.963
3,LOW LEAD CLINIC,10467,BRONX,207,40.878334,-73.882523,POINT (-73.88252158089448 40.87832570714406),5,3706,51826.0737093,43886930.6821
4,PSYCHIATRIC INPATIENT UNIT,11427,QUEENS,413,40.7413892437,-73.7315113486,POINT (-73.73150998654056 40.74138097179089),45,4105,206027.45579,550135981.616
5,THE CHILDREN'S HEALTH CENTER OF THE NEW YORK FOUNDLING,10454,BRONX,201,40.8063119162,-73.9208849784,POINT (-73.92088355101399 40.80630363920952),9,3710,90067.9543636,137760289.541
6,NYU LANGONE HOSPITAL-BROOKLYN,11220,BROOKLYN,307,40.6465438491,-74.0210863375,POINT (-74.02108488840486 40.64653560616263),34,4012,96983.6271364,112208109.35
7,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,11219,BROOKLYN,310,40.625118,-74.003334,POINT (-74.00333255750328 40.62510976070234),35,4013,48170.458,107113832.637
8,PS 223,11434,QUEENS,412,40.6745369698,-73.7902885107,POINT (-73.79028713306849 40.67452871342361),52,4112,72793.6040684,260049220.98
9,LONG ISLAND CARE CENTER INC,11354,QUEENS,407,40.7635983079,-73.8203171366,POINT (-73.8203157443069 40.76359003561044),43,4103,149451.567392,329873810.656
10,GOLD CREST CARE CENTER,10469,BRONX,211,40.8591955685,-73.8330334722,POINT (-73.83303207009169 40.85918727691753),3,3704,47970.2030233,106216908.278
11,HARLEM BAY NETWORK PROS,10035,MANHATTAN,111,40.8038441685,-73.9388513765,POINT (-73.93884994440668 40.80383589172735),13,3804,62599.5024685,64612123.1374
12,CALVARY HOSPITAL,11220,BROOKLYN,307,40.6465438491,-74.0210863375,POINT (-74.02108488840486 40.64653560616263),34,4012,96983.6271364,112208109.35
13,MELROSE HOUSES CHILD HEALTH CLINIC,10451,BRONX,201,40.8210207899,-73.9180008801,POINT (-73.9179994538131 40.8210125088947),9,3710,90067.9543636,137760289.541
14,SHILOH CONSULTING,10018,MANHATTAN,105,40.7551940094,-73.9879683132,POINT (-73.9879668681462 40.75518574468603),16,3807,71863.8360436,85622064.5857
15,ROCKAWAY CARE CENTER,11691,QUEENS,414,40.5948851315,-73.7793539618,POINT (-73.77935259317223 40.59487689034741),54,4114,402487.073726,310522670.444
16,HOMECREST CHILD HEALTH CLINIC,11229,BROOKLYN,315,40.6012335073,-73.9443685412,POINT (-73.94436711941538 40.60122527059676),38,4016,109480.188237,120716882.065
