,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
0,1.0,10026,POINT (-73.95353074430393 40.80297988196676),-73.95353074430393,40.80297988196676,12,3803,38111.6886704,39843953.7438
1,1.0,10035,POINT (-73.93484756332469 40.80301816141575),-73.9348475633247,40.80301816141575,13,3804,62599.5024685,64612123.1374
2,1.0,10019,POINT (-73.97736329270697 40.76080689474172),-73.97736329270697,40.76080689474172,16,3807,71863.8360436,85622064.5857
3,1.0,10022,POINT (-73.96938170465759 40.7621860177235),-73.9693817046576,40.7621860177235,17,3808,43083.5505189,44952037.8009
4,1.0,10065,POINT (-73.95954994584243 40.76491500625342),-73.95954994584243,40.764915006253425,14,3805,54449.5033787,55222267.9563
5,1.0,10128,POINT (-73.9518056716208 40.78595979862155),-73.9518056716208,40.785959798621555,14,3805,54449.5033787,55222267.9563
6,1.0,10029,POINT (-73.94345827853815 40.79421476546373),-73.94345827853815,40.79421476546373,13,3804,62599.5024685,64612123.1374
7,2.0,10467,POINT (-73.86322248483968 40.86680442902693),-73.86322248483968,40.866804429026935,3,3704,47970.2030233,106216908.278
8,1.0,10011,POINT (-73.99335691118674 40.74046545561088),-73.99335691118674,40.74046545561088,16,3807,71863.8360436,85622064.5857
9,1.0,10282,POINT (-74.01574871232719 40.71569087343909),-74.0157487123272,40.715690873439094,19,3810,122526.958548,81024704.0028
10,2.0,10475,POINT (-73.82931594567218 40.87075330808789),-73.82931594567218,40.87075330808789,2,3703,305269.138803,267643637.839
11,2.0,10458,POINT (-73.88788268526544 40.85434421451861),-73.88788268526544,40.85434421451861,4,3705,68697.5999192,122483690.262
12,1.0,10025,POINT (-73.96760677135273 40.79587354648015),-73.96760677135273,40.79587354648015,15,3806,47538.4259936,88497862.2383
13,2.0,10458,POINT (-73.89450288645044 40.86298060519321),-73.89450288645044,40.86298060519321,5,3706,51826.0737093,43886930.6821
14,2.0,10473,POINT (-73.85017019717382 40.82662920810023),-73.85017019717382,40.82662920810023,8,3709,73288.7773801,124117768.897
15,1.0,10002,POINT (-73.99648986636721 40.71333307050747),-73.99648986636721,40.71333307050747,18,3809,36351.6176183,48695493.6207
16,2.0,10464,POINT (-73.78636658900808 40.8476919036199),-73.78636658900808,40.8476919036199,2,3703,305269.138803,267643637.839
17,2.0,10472,POINT (-73.87502060024048 40.82999287527917),-73.87502060024048,40.82999287527917,8,3709,73288.7773801,124117768.897
18,1.0,10019,POINT (-73.99122081783712 40.7649346183948),-73.99122081783712,40.764934618394804,16,3807,71863.8360436,85622064.5857
19,1.0,10030,POINT (-73.94116092350963 40.81483582138157),-73.94116092350963,40.81483582138157,12,3803,38111.6886704,39843953.7438
20,5.0,10304,POINT (-74.10113728935811 40.59039133599787),-74.1011372893581,40.59039133599787,21,3902,153372.622901,675481898.963
21,2.0,10469,POINT (-73.84506427532864 40.87013970297055),-73.84506427532864,40.87013970297055,1,3702,106167.592328,188993662.687
22,2.0,10466,POINT (-73.84083712785493 40.88889489584642),-73.84083712785493,40.88889489584642,1,3702,106167.592328,188993662.687
23,1.0,10010,POINT (-73.98204888964264 40.7380871203906),-73.98204888964264,40.738087120390595,17,3808,43083.5505189,44952037.8009
24,1.0,10033,POINT (-73.93386591312449 40.84787004116821),-73.93386591312449,40.847870041168214,10,3801,62589.0551493,81247268.6263
25,2.0,10453,POINT (-73.90931635032427 40.85742189422779),-73.90931635032427,40.85742189422779,6,3707,37374.595308,42281071.5105
26,1.0,10027,POINT (-73.95705320654999 40.8137689645727),-73.95705320654999,40.813768964572695,11,3802,37927.824564,46903009.3879
