,line,name,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
0,4-6-6 Express,Astor Pl,POINT (-73.99106999861966 40.73005400028978),-73.99106999861966,40.73005400028978,19,3810,122526.958548,81024704.0028
1,4-6-6 Express,Canal St,POINT (-74.00019299927328 40.71880300107709),-74.00019299927328,40.71880300107709,19,3810,122526.958548,81024704.0028
2,1-2,50th St,POINT (-73.98384899986625 40.76172799961419),-73.98384899986625,40.76172799961419,16,3807,71863.8360436,85622064.5857
3,2-3-4,Bergen St,POINT (-73.97499915116808 40.68086213682956),-73.97499915116808,40.68086213682956,27,4005,95462.4834828,114514600.094
4,3-4,Pennsylvania Ave,POINT (-73.89488591154061 40.66471445143568),-73.89488591154061,40.66471445143568,29,4007,44860.7781372,72205366.5338
5,1,238th St,POINT (-73.90087000018522 40.88466700064975),-73.90087000018522,40.88466700064975,0,3701,53227.1136077,97928516.6801
6,A-B-C,Cathedral Pkwy (110th St),POINT (-73.95806670661364 40.80058155811496),-73.95806670661364,40.800581558114956,12,3803,38111.6886704,39843953.7438
7,A-C,Kingston - Throop Aves,POINT (-73.94085899871263 40.67991899941601),-73.94085899871263,40.67991899941601,28,4006,42559.3069581,61860727.1531
8,E-M-R,65th St,POINT (-73.8987883783301 40.74971952935675),-73.8987883783301,40.74971952935675,49,4109,95211.0194607,167050353.269
9,E-M-R,36th St,POINT (-73.92901818461539 40.75196004401078),-73.92901818461539,40.75196004401078,49,4109,95211.0194607,167050353.269
10,J-M-Z,Delancey St - Essex St,POINT (-73.98740940202974 40.71830605618619),-73.98740940202974,40.71830605618619,18,3809,36351.6176183,48695493.6207
11,J-Z,Van Siclen Ave,POINT (-73.89165772702445 40.67802821447783),-73.89165772702445,40.67802821447783,30,4008,97558.4670821,164339106.08
12,J-Z,Norwood Ave,POINT (-73.87962599910783 40.68152000045683),-73.87962599910783,40.68152000045683,30,4008,97558.4670821,164339106.08
13,J-Z,104th-102nd Sts,POINT (-73.84443500029684 40.69516599823373),-73.84443500029684,40.69516599823373,51,4111,56320.396492,132524480.546
14,B-D-N-Q-R,DeKalb Ave,POINT (-73.98177094440949 40.69064811996979),-73.98177094440949,40.690648119969794,26,4004,73010.0956282,86682052.0213
15,A-S,Beach 105th St,POINT (-73.82758075034528 40.58326843810286),-73.82758075034528,40.58326843810286,54,4114,402487.073726,310522670.444
16,A-S,Beach 90th St,POINT (-73.81365140419632 40.58809156457325),-73.81365140419632,40.58809156457325,54,4114,402487.073726,310522670.444
17,2-5,Freeman St,POINT (-73.89175225349464 40.82998744638412),-73.89175225349464,40.829987446384116,4,3705,68697.5999192,122483690.262
18,2-5,Intervale Ave,POINT (-73.89661738461646 40.82214213117079),-73.89661738461646,40.822142131170786,9,3710,90067.9543636,137760289.541
19,B-D,182nd-183rd Sts,POINT (-73.90074099998965 40.85609299881864),-73.90074099998965,40.85609299881864,6,3707,37374.595308,42281071.5105
20,B-D,174th-175th Sts,POINT (-73.91013600050078 40.84589999983414),-73.91013600050078,40.84589999983414,6,3707,37374.595308,42281071.5105
21,B-D,167th St,POINT (-73.91843200082253 40.83376899862797),-73.91843200082253,40.83376899862797,7,3708,35002.7055809,55881067.7537
22,7-7 Express,Mets - Willets Point,POINT (-73.8456249984179 40.75462199881262),-73.8456249984179,40.75462199881262,47,4107,100417.206182,107515663.696
23,7-7 Express,Junction Blvd,POINT (-73.86952700103515 40.74914499948836),-73.86952700103515,40.74914499948836,47,4107,100417.206182,107515663.696
24,7-7 Express,Flushing - Main St,POINT (-73.83003000262508 40.75959999915012),-73.83003000262508,40.75959999915012,43,4103,149451.567392,329873810.656
25,6-6 Express,Buhre Ave,POINT (-73.83256900003744 40.8468099988855),-73.83256900003744,40.846809998885504,2,3703,305269.138803,267643637.839
26,6-6 Express,3rd Ave - 138th St,POINT (-73.92613800014134 40.81047600117261),-73.92613800014134,40.81047600117261,9,3710,90067.9543636,137760289.541
27,6-6 Express,Castle Hill Ave,POINT (-73.85122199961472 40.83425499825462),-73.85122199961472,40.83425499825462,8,3709,73288.7773801,124117768.897
28,4-5-6-6 Express,Brooklyn Bridge - City Hall,POINT (-74.0041310005885 40.71306499943314),-74.0041310005885,40.713064999433136,19,3810,122526.958548,81024704.0028
29,6-6 Express,Zerega Ave,POINT (-73.84703599875439 40.83648800060816),-73.8470359987544,40.836488000608156,8,3709,73288.7773801,124117768.897
30,4-5-6-6 Express,Grand Central - 42nd St,POINT (-73.97671329925841 40.75180742981634),-73.9767132992584,40.75180742981634,17,3808,43083.5505189,44952037.8009
31,4-6-6 Express,33rd St,POINT (-73.98207600148947 40.74608099909145),-73.98207600148947,40.74608099909145,16,3807,71863.8360436,85622064.5857
32,4-6-6 Express,96th St,POINT (-73.9510700015425 40.78567199998607),-73.9510700015425,40.78567199998607,14,3805,54449.5033787,55222267.9563
33,4-6-6 Express,77th St,POINT (-73.95987399886047 40.77362000074615),-73.95987399886047,40.77362000074615,14,3805,54449.5033787,55222267.9563
34,J-Z,Chauncey St,POINT (-73.91038357033376 40.68285130087804),-73.91038357033376,40.68285130087804,29,4007,44860.7781372,72205366.5338
35,D-N-R,Union St,POINT (-73.98310999909673 40.67731566735096),-73.98310999909673,40.67731566735096,27,4005,95462.4834828,114514600.094
36,E-M-R,Elmhurst Ave,POINT (-73.8820347465864 40.74237007972169),-73.8820347465864,40.74237007972169,47,4107,100417.206182,107515663.696
