GEO_ID,NAME,S2901_C01_001E,S2901_C01_001M,S2901_C01_002E,S2901_C01_002M,S2901_C01_003E,S2901_C01_003M,S2901_C01_004E,S2901_C01_004M,S2901_C01_005E,S2901_C01_005M,S2901_C01_006E,S2901_C01_006M,S2901_C01_007E,S2901_C01_007M,S2901_C01_008E,S2901_C01_008M,S2901_C01_009E,S2901_C01_009M,S2901_C01_010E,S2901_C01_010M,S2901_C01_011E,S2901_C01_011M,S2901_C01_012E,S2901_C01_012M,S2901_C01_013E,S2901_C01_013M,S2901_C01_014E,S2901_C01_014M,S2901_C01_015E,S2901_C01_015M,S2901_C01_016E,S2901_C01_016M,S2901_C01_017E,S2901_C01_017M,S2901_C01_018E,S2901_C01_018M,S2901_C01_019E,S2901_C01_019M,S2901_C01_020E,S2901_C01_020M,S2901_C01_021E,S2901_C01_021M,S2901_C01_022E,S2901_C01_022M,S2901_C01_023E,S2901_C01_023M,S2901_C01_024E,S2901_C01_024M,S2901_C01_025E,S2901_C01_025M,S2901_C01_026E,S2901_C01_026M,S2901_C01_027E,S2901_C01_027M,S2901_C01_028E,S2901_C01_028M,S2901_C01_029E,S2901_C01_029M,S2901_C02_001E,S2901_C02_001M,S2901_C02_002E,S2901_C02_002M,S2901_C02_003E,S2901_C02_003M,S2901_C02_004E,S2901_C02_004M,S2901_C02_005E,S2901_C02_005M,S2901_C02_006E,S2901_C02_006M,S2901_C02_007E,S2901_C02_007M,S2901_C02_008E,S2901_C02_008M,S2901_C02_009E,S2901_C02_009M,S2901_C02_010E,S2901_C02_010M,S2901_C02_011E,S2901_C02_011M,S2901_C02_012E,S2901_C02_012M,S2901_C02_013E,S2901_C02_013M,S2901_C02_014E,S2901_C02_014M,S2901_C02_015E,S2901_C02_015M,S2901_C02_016E,S2901_C02_016M,S2901_C02_017E,S2901_C02_017M,S2901_C02_018E,S2901_C02_018M,S2901_C02_019E,S2901_C02_019M,S2901_C02_020E,S2901_C02_020M,S2901_C02_021E,S2901_C02_021M,S2901_C02_022E,S2901_C02_022M,S2901_C02_023E,S2901_C02_023M,S2901_C02_024E,S2901_C02_024M,S2901_C02_025E,S2901_C02_025M,S2901_C02_026E,S2901_C02_026M,S2901_C02_027E,S2901_C02_027M,S2901_C02_028E,S2901_C02_028M,S2901_C02_029E,S2901_C02_029M
7950000US3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",68882,5120,14067,2693,15316,2938,18307,2193,21192,2639,29035,3081,39847,3309,35971,3365,12038,2086,2424,918,N,N,N,N,13070,3266,N,N,29191,3713,26301,2528,4985,1770,5831,1738,11170,2152,12697,2039,5124,1340,13824,1821,15251,2002,58066,4477,29075,2638,63510,4737,7852,2012,55658,4757,64538,7262,(X),(X),20.4,3.4,22.2,3.7,26.6,2.9,30.8,3.4,42.2,2.8,57.8,2.8,52.2,4.5,17.5,2.9,3.5,1.3,N,N,N,N,19,4.1,N,N,42.4,3.7,38.2,3.4,7.2,2.5,8.5,2.3,16.2,2.7,18.4,2.8,7.4,1.8,20.1,2.5,22.1,2.8,84.3,3.3,42.2,3.4,(X),(X),12.4,3.1,87.6,3.1,(X),(X)
7950000US3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",94150,6226,21770,2990,21783,2662,29951,3497,20646,2468,42135,3950,52015,3909,13727,2594,63841,5648,N,N,N,N,N,N,10726,2737,N,N,22671,3579,6790,1472,4751,1291,10604,1710,27825,3380,18340,2253,8448,1774,16327,2097,7855,1561,78795,5559,24182,3033,93485,6224,14250,2664,79235,6279,60508,4987,(X),(X),23.1,2.6,23.1,2.7,31.8,2.8,21.9,2.2,44.8,2.6,55.2,2.6,14.6,2.6,67.8,3.6,N,N,N,N,N,N,11.4,2.8,N,N,24.1,3.3,7.2,1.5,5,1.3,11.3,1.7,29.6,3.1,19.5,2,9,1.8,17.3,2,8.3,1.5,83.7,2,25.7,2.6,(X),(X),15.2,2.8,84.8,2.8,(X),(X)
7950000US3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",85270,7457,16105,3850,18796,3132,25165,3145,25204,4077,40666,4296,44604,4737,37726,3742,24369,3811,2957,1374,N,N,N,N,14692,4223,N,N,36278,4970,25577,3158,5225,3117,8945,2381,21358,2960,19592,4018,9225,2320,11849,2123,9076,2088,71100,6526,20925,3118,81864,7274,10268,3458,71596,7400,63217,7752,(X),(X),18.9,3.8,22,3.5,29.5,2.8,29.6,4.2,47.7,3,52.3,3,44.2,4.4,28.6,3.9,3.5,1.6,N,N,N,N,17.2,4.5,N,N,42.5,4.4,30,3.3,6.1,3.6,10.5,2.5,25,3.3,23,4,10.8,2.5,13.9,2.2,10.6,2.4,83.4,3.9,24.5,3.3,(X),(X),12.5,4.2,87.5,4.2,(X),(X)
7950000US3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",82620,6378,16623,2564,21746,2874,26367,2812,17884,2365,39557,3933,43063,3751,25442,2859,23178,4168,6242,1315,N,N,N,N,21698,3598,5586,2177,39474,5498,14918,2163,5462,1153,9156,1906,23788,2910,15335,2664,8652,1946,14390,2169,5837,1351,68002,5355,20227,2795,79160,6106,10967,2477,68193,5995,60853,5187,(X),(X),20.1,2.3,26.3,3,31.9,2.6,21.6,2.5,47.9,2.6,52.1,2.6,30.8,3,28.1,4.1,7.6,1.7,N,N,N,N,26.3,3.7,6.8,2.6,47.8,4.9,18.1,2.7,6.6,1.3,11.1,2,28.8,3,18.6,2.8,10.5,2.2,17.4,2.4,7.1,1.5,82.3,2.1,24.5,2.9,(X),(X),13.9,3.1,86.1,3.1,(X),(X)
7950000US3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",101093,7110,29219,3907,26499,3146,29577,3796,15798,2104,43480,3980,57613,4980,21389,4403,51104,5210,N,N,N,N,N,N,24384,3609,3287,1325,56299,5363,N,N,9169,1718,19072,3005,32343,4225,22099,3426,7619,1948,8215,1452,2576,863,72852,6178,10791,1600,97969,6968,37434,4425,60535,6406,22219,2732,(X),(X),28.9,3,26.2,2.7,29.3,2.9,15.6,2.1,43,2.7,57,2.7,21.2,3.9,50.6,4,N,N,N,N,N,N,24.1,3.3,3.3,1.3,55.7,3.8,N,N,9.1,1.7,18.9,2.7,32,3.3,21.9,2.9,7.5,1.9,8.1,1.5,2.5,0.8,72.1,3,10.7,1.6,(X),(X),38.2,4.1,61.8,4.1,(X),(X)
7950000US3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",76575,8428,23917,4233,19482,3153,21173,2975,12003,2300,37264,5103,39311,4370,21203,4924,19273,2836,5906,2144,N,N,N,N,26980,5822,N,N,51382,7043,5776,1645,8426,2178,10349,2152,22081,4317,17451,2829,4533,1250,9028,2260,4707,1736,57800,7833,13735,3017,75126,8252,16118,3034,59008,8020,42154,6447,(X),(X),31.2,3.3,25.4,3.5,27.7,2.6,15.7,2.8,48.7,2.9,51.3,2.9,27.7,5.2,25.2,3.8,7.7,2.6,N,N,N,N,35.2,6.3,N,N,67.1,4.1,7.5,2.3,11,2.8,13.5,2.8,28.8,4.2,22.8,2.7,5.9,1.5,11.8,2.4,6.1,2.2,75.5,4.2,17.9,3.1,(X),(X),21.5,4.1,78.5,4.1,(X),(X)
7950000US3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",69269,5840,19584,3213,17583,2424,22653,2754,9449,1558,29236,3698,40033,3541,10362,2022,33742,4398,N,N,N,N,N,N,20752,3690,2285,874,43031,4987,N,N,6136,1771,11791,2314,21567,2994,12208,1971,7104,1549,7876,1761,2587,1024,51342,4100,10463,2083,69002,5789,21387,2997,47615,5274,31930,6713,(X),(X),28.3,3.6,25.4,3.1,32.7,3,13.6,2,42.2,3.2,57.8,3.2,15,2.9,48.7,4.9,N,N,N,N,N,N,30,4.5,3.3,1.3,62.1,4.2,N,N,8.9,2.2,17,2.8,31.1,3.9,17.6,2.8,10.3,2,11.4,2.4,3.7,1.4,74.1,3.3,15.1,2.8,(X),(X),31,4.1,69,4.1,(X),(X)
7950000US3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",74329,6277,18845,3110,20406,3157,24664,2533,10414,1857,33400,4108,40929,3686,14187,3012,36515,4148,N,N,N,N,N,N,19785,4086,2436,1211,41094,5276,3340,1294,7712,1848,9372,1976,23066,3496,16125,2672,6067,1559,8206,1932,3781,1067,57245,5516,11987,2164,73638,6239,21553,3477,52085,5811,32405,3178,(X),(X),25.4,3.3,27.5,3.1,33.2,2.8,14,2.4,44.9,3.2,55.1,3.2,19.1,3.9,49.1,4.8,N,N,N,N,N,N,26.6,4.3,3.3,1.6,55.3,4.3,4.5,1.7,10.4,2.3,12.6,2.5,31,3.5,21.7,3.2,8.2,2,11,2.4,5.1,1.4,77,3.1,16.1,2.6,(X),(X),29.3,4.3,70.7,4.3,(X),(X)
7950000US3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",114802,7140,29093,3640,24190,2855,37090,3635,24429,2723,52675,4220,62127,4674,21478,3758,43142,5536,7022,1916,N,N,N,N,36664,4582,6137,2135,62043,5330,N,N,9181,1716,15781,3164,32000,3241,24900,3560,10367,2585,15612,2741,6961,1402,89840,5854,22573,3190,114083,7203,24239,3519,89844,7322,44218,7763,(X),(X),25.3,2.4,21.1,2.2,32.3,2.6,21.3,2.1,45.9,2.3,54.1,2.3,18.7,3.2,37.6,3.9,6.1,1.6,N,N,N,N,31.9,3.6,5.3,1.8,54,3.8,N,N,8,1.4,13.7,2.5,27.9,2.8,21.7,2.7,9,2.1,13.6,2.2,6.1,1.2,78.3,2.6,19.7,2.5,(X),(X),21.2,3.1,78.8,3.1,(X),(X)
7950000US3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",93893,6270,25861,3512,26022,3041,27471,3685,14539,2038,44725,3692,49168,4236,17917,2929,37529,4540,N,N,N,N,N,N,34587,5373,N,N,62709,5392,N,N,6696,1713,20486,2835,27209,3182,21815,3159,6320,1482,7766,1611,3601,1264,66711,5563,11367,2248,87946,6035,32402,4300,55544,6165,23423,5762,(X),(X),27.5,2.8,27.7,3.2,29.3,3.1,15.5,2.2,47.6,2.6,52.4,2.6,19.1,3,40,4.4,N,N,N,N,N,N,36.8,4.9,N,N,66.8,3.6,N,N,7.1,1.8,21.8,2.8,29,2.8,23.2,2.8,6.7,1.5,8.3,1.6,3.8,1.3,71.1,2.9,12.1,2.2,(X),(X),36.8,4.7,63.2,4.7,(X),(X)
