"B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","id","Geographic Area Name"
"108913","*****","103576","414","268","61","944","202","1857","266","2268","345","7950000US3600100","St. Lawrence County PUMA, New York"
"173034","*****","164286","509","677","203","1633","278","3294","312","3144","331","7950000US3600200","Clinton, Franklin, Essex & Hamilton Counties PUMA; New York"
"125892","*****","120862","468","334","74","913","262","2334","343","1449","256","7950000US3600300","Warren & Washington Counties PUMA, New York"
"112536","364","109541","516","123","59","498","142","1568","222","806","201","7950000US3600401","Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York"
"160558","195","140647","974","2371","393","1348","272","9122","640","7070","792","7950000US3600402","Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York"
"110116","332","106112","454","197","59","416","90","2135","236","1256","200","7950000US3600403","Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York"
"139414","*****","131498","696","1330","436","1648","262","2676","339","2262","291","7950000US3600500","Jefferson & Lewis Counties PUMA, New York"
"118339","*****","115384","345","231","115","398","103","1369","234","957","234","7950000US3600600","Oswego County PUMA, New York"
"142874","46","120213","1083","2490","375","1394","276","7760","599","11017","886","7950000US3600701","Onondaga County (Central)--Syracuse City PUMA, New York"
"125683","610","119108","979","302","197","721","217","4030","464","1522","311","7950000US3600702","Onondaga County (North) PUMA, New York"
"159739","654","147199","939","444","150","873","169","7204","530","4019","628","7950000US3600703","Onondaga County (Central)--Syracuse City (Outer) PUMA, New York"
"112001","246","107911","489","308","97","384","121","2003","262","1395","276","7950000US3600704","Cayuga & Onondaga (South) Counties PUMA, New York"
"124909","*****","120237","429","549","126","550","142","2383","293","1190","252","7950000US3600800","Wayne & Seneca Counties PUMA, New York"
"132253","135","120676","859","1081","248","787","217","6989","605","2720","535","7950000US3600901","Monroe County (East) PUMA, New York"
"106627","1456","87531","1663","9386","895","852","215","5043","608","3815","555","7950000US3600902","Monroe County (Central)--Rochester City (East) PUMA, New York"
"100062","1455","84650","1786","4603","664","788","277","3685","437","6336","908","7950000US3600903","Monroe County (Central)--Rochester City (West) PUMA, New York"
"124386","72","112121","888","1150","229","850","295","6726","678","3539","550","7950000US3600904","Monroe County (Central)--Greece & Gates Towns PUMA, New York"
"105105","67","98642","836","621","406","800","261","3202","578","1840","416","7950000US3600905","Monroe County (North & West) PUMA, New York"
