PUMA,Parents_Kids6to17,SingleParent_Kids6to17
3701,3064,2899
3702,3809,5028
3703,3106,3514
3704,3917,3626
3705,3608,7836
3706,3050,4961
3707,2929,6267
3708,3626,6366
3709,4304,7093
3710,2462,7592
3801,4723,5504
3802,3127,2294
3803,2333,4366
3804,2566,4410
3805,7568,2244
3806,6102,2226
3807,2310,1616
3808,3093,893
3809,2317,2847
3810,4269,1423
3901,9100,1949
3902,6857,1897
3903,7136,4428
4001,3621,1922
4002,3061,3510
4003,2712,3987
4004,3644,2968
4005,4964,2031
4006,2774,3828
4007,1800,4735
4008,4136,5793
4009,7413,5344
4010,3509,4361
4011,2120,2810
4012,5443,2413
4013,5318,1484
4014,5731,966
4015,5402,3509
4016,6232,1953
4017,8272,2903
4018,3695,2385
4101,4056,2354
4102,6304,3328
4103,9293,2741
4104,5288,1526
4105,7029,3629
4106,5545,2263
4107,5296,2899
4108,4178,1375
4109,4764,1518
4110,8478,3345
4111,5836,2504
4112,7021,6153
4113,5502,2247
4114,3297,3170
